ID,task_id,site_id,时期编号,时期名称,时期别名,细分时期,历史朝代,地层归属,起始时间,结束时间,绝对年代,相对年代,发展阶段,时期顺序,时期特征,代表性文物,source_text_blocks,raw_attributes,cidoc_attributes,extraction_confidence,created_at
1,task_20251202_024347_3839,2,,良渚文化,,,,,,,,,良渚文化时期,,,,[1],,,0.8,2025-12-01 18:44:17
2,task_20251202_024347_3839,2,,唐宋时期,,,,,,,,,历史时期,,,,[1],,,0.8,2025-12-01 18:44:17
3,task_20251202_024347_6890,3,,良渚文化,,,,,,,,,瑶山遗址,,,,[1],,,0.8,2025-12-01 18:44:24
4,task_20251202_024347_3699,1,,良渚文化中期偏早,,,,,,,,,贵族墓地,,,,[1],,,0.8,2025-12-01 18:44:32
5,task_20251202_024347_3699,1,,良渚文化,,,,,,,,,,,,,[1],,,0.8,2025-12-01 18:44:32
6,task_20251202_051019_4314,4,,良渚文化,,,,,,,,,,,,,[1],,,0.8,2025-12-01 21:10:47
7,task_20251202_051019_1116,5,,马家浜文化时期,,,,,,,,,早期,早于良渚文化时期,,,[1],,,0.8,2025-12-01 21:11:55
8,task_20251202_051019_1116,5,,良渚文化时期,,,,,,,,,第一期,早于第二期,,,[1],,,0.8,2025-12-01 21:11:55
9,task_20251202_051019_1116,5,,良渚文化时期,,,,,,,,,第二期,介于第一期和第三期之间,,,[1],,,0.8,2025-12-01 21:11:55
10,task_20251202_051019_1116,5,,良渚文化时期,,,,,,,,,第三期,晚于第二期,,,[1],,,0.8,2025-12-01 21:11:55
11,task_20251202_051442_3436,2,,良渚文化,,,,,,,,,良渚文化时期,,,,[1],,,0.8,2025-12-01 21:15:27
12,task_20251202_051442_3436,2,,唐宋时期,,,,,,,,,历史时期,,,,[1],,,0.8,2025-12-01 21:15:27
13,task_20251202_051549_1920,5,,马家浜文化时期,,,,,,,,,早期,早于良渚文化时期,,,[1],,,0.8,2025-12-01 21:16:34
14,task_20251202_051549_1920,5,,良渚文化时期,,,,,,,,,第一期,早于第二期,,,[1],,,0.8,2025-12-01 21:16:34
15,task_20251202_051549_1920,5,,良渚文化时期,,,,,,,,,第二期,介于第一期和第三期之间,,,[1],,,0.8,2025-12-01 21:16:34
16,task_20251202_051549_1920,5,,良渚文化时期,,,,,,,,,第三期,晚于第二期,,,[1],,,0.8,2025-12-01 21:16:34
17,task_20251202_151528_6007,7,,屈家岭文化,,,,,,,,,新石器时代晚期,,,,[1],,,0.8,2025-12-02 07:16:09
18,task_20251202_151528_6007,7,,石家河文化,,,,,,,,,新石器时代末期至铜石并用时代,晚于屈家岭文化,,,[1],,,0.8,2025-12-02 07:16:09
19,task_20251202_151528_8697,6,,盘龙城一期,,,,,,,,,早期,早于盘龙城二期,,,[1],,,0.8,2025-12-02 07:16:20
20,task_20251202_151528_8697,6,,盘龙城二期,,,,,,,,,发展期,晚于盘龙城一期，早于盘龙城三期,,,[1],,,0.8,2025-12-02 07:16:20
21,task_20251202_151528_8697,6,,盘龙城三期,,,,,,,,,发展期,晚于盘龙城二期，早于盘龙城四期,,,[1],,,0.8,2025-12-02 07:16:20
22,task_20251202_151528_8697,6,,盘龙城四期,,,,,,,,,繁荣期,晚于盘龙城三期，早于盘龙城五期,,,[1],,,0.8,2025-12-02 07:16:20
23,task_20251202_151528_8697,6,,盘龙城五期,,,,,,,,,繁荣期,晚于盘龙城四期，早于盘龙城六期,,,[1],,,0.8,2025-12-02 07:16:20
24,task_20251202_151528_8697,6,,盘龙城六期,,,,,,,,,衰落期,晚于盘龙城五期，早于盘龙城七期,,,[1],,,0.8,2025-12-02 07:16:20
25,task_20251202_151528_8697,6,,盘龙城七期,,,,,,,,,衰落期,晚于盘龙城六期,,,[1],,,0.8,2025-12-02 07:16:20
26,task_20251202_151528_7268,6,,盘龙城第五期,,,,,,,,,,,,,[1],,,0.8,2025-12-02 07:16:28
27,task_20251202_151528_7268,6,,盘龙城第六期,,,,,,,,,,,,,[1],,,0.8,2025-12-02 07:16:28
28,task_20251202_151528_7268,6,,盘龙城第四期,,,,,,,,,,,,,[1],,,0.8,2025-12-02 07:16:28
29,task_20251202_151528_7268,6,,盘龙城第七期,,,,,,,,,,,,,[1],,,0.8,2025-12-02 07:16:28
