id:ID,:LABEL,development_stage,name
Period_1,E4_Period,良渚文化时期,良渚文化
Period_2,E4_Period,历史时期,唐宋时期
Period_3,E4_Period,瑶山遗址,良渚文化
Period_4,E4_Period,贵族墓地,良渚文化中期偏早
Period_5,E4_Period,,良渚文化
Period_6,E4_Period,,良渚文化
Period_7,E4_Period,早期,马家浜文化时期
Period_8,E4_Period,第一期,良渚文化时期
Period_9,E4_Period,第二期,良渚文化时期
Period_10,E4_Period,第三期,良渚文化时期
Period_11,E4_Period,良渚文化时期,良渚文化
Period_12,E4_Period,历史时期,唐宋时期
Period_13,E4_Period,早期,马家浜文化时期
Period_14,E4_Period,第一期,良渚文化时期
Period_15,E4_Period,第二期,良渚文化时期
Period_16,E4_Period,第三期,良渚文化时期
Period_17,E4_Period,新石器时代晚期,屈家岭文化
Period_18,E4_Period,新石器时代末期至铜石并用时代,石家河文化
Period_19,E4_Period,早期,盘龙城一期
Period_20,E4_Period,发展期,盘龙城二期
Period_21,E4_Period,发展期,盘龙城三期
Period_22,E4_Period,繁荣期,盘龙城四期
Period_23,E4_Period,繁荣期,盘龙城五期
Period_24,E4_Period,衰落期,盘龙城六期
Period_25,E4_Period,衰落期,盘龙城七期
Period_26,E4_Period,,盘龙城第五期
Period_27,E4_Period,,盘龙城第六期
Period_28,E4_Period,,盘龙城第四期
Period_29,E4_Period,,盘龙城第七期
