id:ID,:LABEL,metric,value
E54_Dimension_Artifact_陶器_2672_硬度,E54_Dimension,硬度,甚坚硬
E54_Dimension_Artifact_陶器_2891_硬度,E54_Dimension,硬度,坚硬
E54_Dimension_Artifact_陶器_3232_硬度,E54_Dimension,硬度,高
E54_Dimension_Artifact_陶器_3526_硬度,E54_Dimension,硬度,高
E54_Dimension_Artifact_陶器_3671_硬度,E54_Dimension,硬度,高
E54_Dimension_Artifact_陶器_3672_硬度,E54_Dimension,硬度,高
E54_Dimension_Artifact_陶器_3673_硬度,E54_Dimension,硬度,高
E54_Dimension_Artifact_陶器_4423_硬度,E54_Dimension,硬度,较硬
E54_Dimension_Artifact_陶器_4424_硬度,E54_Dimension,硬度,软
E54_Dimension_Artifact_陶器_4425_硬度,E54_Dimension,硬度,松
E54_Dimension_Artifact_陶器_4426_硬度,E54_Dimension,硬度,较硬
E54_Dimension_Artifact_陶器_4428_硬度,E54_Dimension,硬度,高
