START_ID,END_ID,TYPE
fm_84ceaea3,fu_03a77eaa,HAS_METRIC_OF
fm_3ccecbb0,fu_30cf29d5,HAS_METRIC_OF
fm_793c6374,fu_30cf29d5,HAS_METRIC_OF
fm_30f97aa0,fu_30cf29d5,HAS_METRIC_OF
fm_c4534c8a,fu_30cf29d5,HAS_METRIC_OF
fm_f226427e,fu_dd40824a,HAS_METRIC_OF
fm_4cf679fd,fu_ba68aef9,HAS_METRIC_OF
fm_9c16e76d,fu_ba68aef9,HAS_METRIC_OF
fm_0ba73997,fu_30cf29d5,HAS_METRIC_OF
fm_1c9fc8e9,fu_ba68aef9,HAS_METRIC_OF
fm_910a58a9,fu_dd40824a,HAS_METRIC_OF
fm_e1e5ad89,fu_3353fb9d,HAS_METRIC_OF
fm_dc9e9146,fu_3353fb9d,HAS_METRIC_OF
fm_cef92615,fu_3353fb9d,HAS_METRIC_OF
fm_bf729a43,fu_5ad2eecc,HAS_METRIC_OF
fm_6c8e1d58,fu_5ad2eecc,HAS_METRIC_OF
fm_71df1427,fu_42fb590c,HAS_METRIC_OF
fm_8746eca5,fu_c917557f,HAS_METRIC_OF
fm_38f5137e,fu_5c3c141d,HAS_METRIC_OF
fm_48f87e27,fu_5c3c141d,HAS_METRIC_OF
fm_eb7f27f2,fu_5c3c141d,HAS_METRIC_OF
fm_26d4ae93,fu_5c3c141d,HAS_METRIC_OF
fm_6ed2baeb,fu_ba68aef9,HAS_METRIC_OF
fm_c567d93b,fu_ba68aef9,HAS_METRIC_OF
fm_6d57ac35,fu_ba68aef9,HAS_METRIC_OF
fm_776093a9,fu_ba68aef9,HAS_METRIC_OF
fm_93f43299,fu_ba68aef9,HAS_METRIC_OF
fm_56240105,fu_ba68aef9,HAS_METRIC_OF
fm_57cd08d7,fu_ba68aef9,HAS_METRIC_OF
fm_438ba011,fu_e2c97fd0,HAS_METRIC_OF
fm_b5a0b784,fu_e2c97fd0,HAS_METRIC_OF
