id,name,type,code,LABEL
struct_10970558,G1,灰沟,G1,E25_Man_Made_Feature
struct_8ad1cfa3,G2,灰沟,G2,E25_Man_Made_Feature
struct_7c7895d2,码头遗迹,码头,码头遗迹,E25_Man_Made_Feature
struct_da50e824,F1,房址,F1,E25_Man_Made_Feature
struct_2d92070d,G3,排水沟,G3,E25_Man_Made_Feature
struct_7064583c,H1-H5,灰坑,H1-H5,E25_Man_Made_Feature
struct_bf5b65c4,H1,灰坑,H1,E25_Man_Made_Feature
struct_8a94d632,G1,沟,G1,E25_Man_Made_Feature
struct_b95f8ebe,F1,建筑基址,F1,E25_Man_Made_Feature
struct_52549e58,土台,其他重要功能区,土台,E25_Man_Made_Feature
struct_1bc92268,F3,建筑基址,F3,E25_Man_Made_Feature
struct_aa998dc6,F4,建筑基址,F4,E25_Man_Made_Feature
struct_c3cc0b54,Y1,其他重要功能区,Y1,E25_Man_Made_Feature
struct_359ef143,H3,灰坑,H3,E25_Man_Made_Feature
struct_3ce5f7d4,F1,建筑基址,F1,E25_Man_Made_Feature
struct_94b32608,F2,建筑基址,F2,E25_Man_Made_Feature
struct_a70cb50a,G1,其他重要功能区,G1,E25_Man_Made_Feature
struct_a1b18dba,H2,灰坑,H2,E25_Man_Made_Feature
struct_217df60c,J1,其他重要功能区,J1,E25_Man_Made_Feature
struct_b704fcf1,红烧土遗迹A,其他重要功能区,红烧土遗迹A,E25_Man_Made_Feature
struct_08ba9824,G2,其他重要功能区,G2,E25_Man_Made_Feature
struct_0db95073,G3,其他重要功能区,G3,E25_Man_Made_Feature
